0000000 2F9A7CC
3FC0000 0FDCC1A
4040000 0F9CC1A
3C40000 117FC85
43C0000 0DDCC1A
44C0000 0D5CC1A
7E7FFFF 709C44E
0440000 2D7FC85
3FC0001 0FDCC1A
3FC0002 0FDCC19
4040001 0F9CC1A
7C40000 71B99F0
0100000 2F1A7CC
1000000 279A7CC
2000000 1F9A7CC
3CA945F 1146910
295B81B 1AEAEE3
0231705 2E83F5D
22BADC8 1E4136D
3AFEEA9 121ADDE
07808C5 2BDA190
3B82F1E 11D8727
04FA799 2D1C783
2753C59 1BEFD4B
33BCDC7 15C0B0E
1C941EB 214ECF8
184F773 2372DB4
0B70FFB 29E0340
13B73EE 25C2319
0DBC13A 28C0E51
2703C61 1C17E58
0B64DF5 29E5CBF
1C6D376 2161D66
157BE22 24DBF3C
3E38402 1081EA7
177BBB4 23DC01F
3C69832 116387F
164715D 24796EB
3554F37 14EF0A8
191339E 230F3B4
183D530 2380924
1DDB2D4 20AB205
1F4FDB4 1FF2927
0D75B77 28DE491
03ECD0C 2DA2043
3F52045 1016001
3A513A0 1271977
3764FBB 13E5BD9
12BF50B 2640105
0E979AC 284D3CC
0C62B75 2966E89
0BAB588 29C5E2F
0033F08 2F8331A
097F376 2ADAC2D
20A5AF2 1F47C8A
1D4DA80 20F4324
24619D5 1D677E0
3486FD5 1555D9B
305B678 176AFDA
2C2CC2B 19856E0
0DFC29D 289BD9C
38587E5 136CC33
0F4901C 27F7D6D
2724239 1C08534
1BF59BE 219E53E
35E8F3C 14A3CBA
36E035F 1428405
10C2953 273D60D
255C317 1CEA86A
16179A5 248D3D0
2F7D183 17DB83C
228840B 1E5515C
2498439 1D4CF39
0C31B23 2983E18
3DFB533 109C280
1637D22 2482087
0B597C3 29EC262
1CD0A9C 2131FE1
304187E 177E583
054838A 2CF87BE
265BC9B 1C6AC3A
14B912E 2541B14
253F95C 1CFFFDC
05E02CC 2CA8455
02D56DE 2E2EB99
0568F46 2CE3CB6
07AF4CE 2BC4A01
03535AF 2DF01D1
3FA20B8 0FEFFAB
173F3D9 2400153
3CA31A4 1148B1F
00C2EDF 2F3D104
0144467 2EFBDC0
1FF3941 1F9F239
11854CC 26D6E85
3AC7DFB 1238C57
215D379 1EE9EE7
2B5D40F 19E9E91
29C8D8E 1AB7F82
06FBAA7 2C1C082
1610C98 24906B6
15CDD1C 24B412E
0D000C1 291A742
32F45B7 161ED35
3A26D1D 1287649
13136F2 260F220
2E5A80F 186B878
23ACEDD 1DC5604
165FCCA 24687A3
1502A3E 2518A6F
2B1AB91 1A0BEA5
10A0621 2749B15
1E8D73D 205224B
3C8E18F 1151CD0
35177B5 150D4A8
1C9057A 2150A48
001AC11 2F8BE6F
169D7E6 244ACCF
1790F98 23D0538
0022605 2F88F52
2965ACD 1AE5647
3D7FD88 10DA8A8
3FA463B 0FEE388
21FD529 1E9B6EA
1246E87 267994D
0775CF9 2BDE3FA
3E6FEAF 1060A95
32DA665 162B97B
1BCA627 21B6BA9
3B3EC18 1200348
2712B1B 1C0F7C6
165AC30 246B5FD
3D0BE61 1112FD1
00118C3 2F900AF
11591A0 26EC628
29DA339 1AABB65
262BF48 1C85B07
066DB89 2C619D3
0B1A454 2A0C1A2
2B1753D 1A0D5BD
0C2B004 2985FF9
2D4B6D1 18F5E85
29303D6 1B0454F
02EB9C3 2E228F5
0003B11 2F97F34
338ABEB 15D3A26
2547E62 1CF8C01
1973A74 22DF1BD
3EE0956 10280C4
1C79800 215CD54
3E6FD9B 1060B09
19377D6 23021FC
22D91DA 1E2C605
09D6684 2AAE164
3F7F754 1004F5B
032A08A 2E0650B
2644CC9 1C7B65C
0030667 2F84484
13AD344 25C549C
